,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
81,2021-07-01,33572.117188,"1,813.58",106.5289,5.22151,231.85,5.4,0.1,73.93,0.19,1.3185714285714285,"3,356.5",19409.4,14522.4,4319.9,414.4,519.9,871.6,1438.0,719.6,1482.5,615.3,2597.2,266.7,325.2,278.3,93.3,202.1
82,2021-08-01,39974.894531,"1,813.43",106.9307,5.18829,233.415,5.2,0.09,68.43,0.2,1.2831818181818182,"3,417.7",19691.1,14672.7,4395.3,373.0,527.4,873.6,1438.7,738.7,1538.6,606.9,2693.5,273.3,335.1,290.0,106.2,195.0
83,2021-09-01,48847.027344,"1,756.66",107.0951,5.38363,235.678,4.8,0.08,75.22,0.28,1.3747619047619049,"3,258.1",19749.2,15309.4,4524.1,356.8,535.0,878.5,1467.7,751.9,1573.9,633.3,2786.8,288.5,351.4,302.9,110.0,224.4
84,2021-10-01,48116.941406,"1,782.81",108.0264,6.23775,240.465,4.5,0.08,83.5,0.48,1.5825,"3,451.3",19951.4,14566.7,4357.0,408.9,504.6,838.5,1438.5,716.4,1485.0,634.5,2661.5,272.8,324.5,281.0,102.5,207.4
85,2021-11-01,61004.40625,"1,773.78",109.1959,6.86239,243.287,4.2,0.08,66.14,0.52,1.5595,"3,833.2",20307.5,15595.9,4613.7,443.1,535.6,886.0,1608.8,741.7,1557.2,669.7,2834.7,273.3,341.2,299.4,125.2,258.3
86,2021-12-01,57229.828125,"1,828.39",110.4104,7.19446,241.338,3.9,0.08,75.33,0.73,1.465,"3,946.2",20663.1,15254.1,4513.0,406.8,524.9,838.4,1585.7,728.7,1507.6,623.4,2919.7,255.7,333.1,292.0,149.1,314.4
87,2022-01-01,47686.8125,"1,796.47",109.8912,7.59528,246.453,4.0,0.08,89.16,1.18,1.764,"3,483.2",20433.7,15645.0,4766.2,422.7,569.6,895.0,1610.8,804.6,1643.9,650.0,3055.5,267.5,363.7,324.8,143.9,294.1
88,2022-02-01,38743.273438,"1,907.90",109.981,7.95485,252.66,3.8,0.08,96.13,1.44,1.9342105263157892,"3,429.5",20599.9,14346.0,4546.5,520.8,539.4,864.4,1463.6,791.9,1534.8,658.8,2850.7,253.6,347.2,294.8,116.8,246.4
89,2022-03-01,44354.636719,"1,937.23",111.2585,8.51522,260.014,3.6,0.2,100.53,2.28,2.1278260869565218,"3,429.0",20796.1,13532.5,4306.3,540.5,510.9,829.9,1376.7,775.8,1504.4,616.1,2647.3,230.1,340.6,281.3,113.8,234.8
90,2022-04-01,46281.644531,"1,896.40",111.6661,8.22777,265.31,3.6,0.33,104.59,2.7,2.7475,"2,919.7",20592.6,14261.5,4545.9,586.9,559.7,864.4,1465.8,801.4,1609.2,636.3,2789.5,237.2,383.6,308.5,108.2,267.1
91,2022-05-01,38469.09375,"1,837.09",114.2695,8.50233,273.251,3.6,0.77,114.38,2.53,2.898095238095238,"3,098.7",20499.7,12334.6,4131.9,572.4,534.0,804.6,1272.1,810.5,1518.5,573.7,2478.0,198.0,361.9,291.4,85.5,185.5
92,2022-06-01,29799.080078,"1,806.89",115.1354,8.93299,280.251,3.6,1.21,107.76,2.92,3.143333333333333,"2,556.3",20480.1,11994.5,4101.2,669.6,533.5,793.3,1199.5,762.1,1516.0,578.6,2444.8,200.2,375.1,273.4,101.2,183.2
93,2022-07-01,19269.367188,"1,765.22",117.0496,8.41318,272.274,3.5,1.68,101.31,2.89,2.896,"2,967.1",20414.6,11127.8,3825.3,554.1,466.3,745.1,1099.0,760.8,1512.5,530.9,2228.5,187.3,365.3,260.5,73.7,145.2
94,2022-08-01,23314.199219,"1,710.70",116.6419,8.22736,269.546,3.7,2.33,90.09,3.45,2.8978260869565218,"2,677.4",20295.5,12369.0,4118.6,585.7,487.3,809.3,1288.1,782.8,1530.7,555.0,2517.5,191.7,376.0,275.0,96.8,184.4
95,2022-09-01,20127.140625,"1,659.67",119.5248,8.21485,267.898,3.5,2.56,79.91,4.22,3.519047619047619,"2,306.7",20121.3,11785.1,3966.9,597.7,466.7,784.4,1231.6,764.4,1475.1,549.8,2353.4,186.4,381.3,262.6,82.3,139.4
